title,title_marathi,ingredients,ingredients_regional,instructions,cuisine,diet,occasion,cooking_time_minutes,seasons,clean_ingredients,clean_instructions,combined_features,score
Amabhar,अमाभर,"cluster beans,green chili,coriander,jaggery,turmeric,oil,salt,tamarind","गवंड,मिरची,धान्य,गुड,हळद,तेल,मीठ,कोंबडी","Boil cluster beans till tender, then cool and chop.;In oil, sauté green chilies and turmeric.;Add tamarind pulp and jaggery. Simmer until thick sauce forms.;Add chopped beans. Cook till flavors meld.;Garnish with fresh coriander. Served cold as side dish.",Maharashtrian,vegetarian,"lunch,monsoon,family meal",25,monsoon,cluster beansgreen chilicorianderjaggeryturmericoilsalttamarind,boil cluster bean till tender cool chopin oil saut green chilies turmericadd tamarind pulp jaggery simmer thick sauce formsadd chopped bean cook till flavor meldgarnish fresh coriander served cold side dish,cluster beansgreen chilicorianderjaggeryturmericoilsalttamarind boil cluster bean till tender cool chopin oil saut green chilies turmericadd tamarind pulp jaggery simmer thick sauce formsadd chopped bean cook till flavor meldgarnish fresh coriander served cold side dish,0.0
Kharria,खर्रीया,"bajra flour,butter,jaggery,cardamom,water","बाजरीचेआटे,मट्ठा,गुड,इलायची,पाणी",Roast bajra flour in ghee on low flame for 10 mins until aromatic.;Boil jaggery with water to make syrup. Cool slightly.;Mix roasted flour into syrup until dough forms.;Add cardamom powder. Knead till smooth.;Form into small balls. Traditionally eaten with milk.,Maharashtrian,vegetarian,"festival,winter,rural",30,winter,bajra flourbutterjaggerycardamomwater,roast bajra flour ghee low flame min aromaticboil jaggery water make syrup cool slightlymix roasted flour syrup dough formsadd cardamom powder knead till smoothform small ball traditionally eaten milk,bajra flourbutterjaggerycardamomwater roast bajra flour ghee low flame min aromaticboil jaggery water make syrup cool slightlymix roasted flour syrup dough formsadd cardamom powder knead till smoothform small ball traditionally eaten milk,0.0
Ukdiche Modak,उकडिचे मोदक,"rice flour,grated coconut,jaggery,cardamom,ghee,water","चावलीचेआटे,नारळ,गुड,इलायची,घी,पाणी","Make dough with rice flour and warm water.;Cook grated coconut with jaggery until dry & fragrant. Add cardamom.;Roll small dough balls, flatten into cups, fill with coconut mix.;Pleat closed, place in steamer. Steam for 12 minutes.",Maharashtrian,vegetarian,"ganesh_chaturthi,festive,home ritual",40,festive,rice flourgrated coconutjaggerycardamomgheewater,make dough rice flour warm watercook grated coconut jaggery dry fragrant add cardamomroll small dough ball flatten cup fill coconut mixpleat closed place steamer steam minute,rice flourgrated coconutjaggerycardamomgheewater make dough rice flour warm watercook grated coconut jaggery dry fragrant add cardamomroll small dough ball flatten cup fill coconut mixpleat closed place steamer steam minute,0.0
Pav Bhaji,पाव भाजी,"potato,tomato,capsicum,onion,peas,butter,pav,pav bhaji masala,coriander","बटाटा,मिरची,मटार,कांदा,बटाटा,घी,पाव,भाजीमसाला,धान्य","Boil and mash potatoes, peas, capsicum, tomato, onion.;Heat butter. Add pav bhaji masala. Stir 2 minutes.;Add mashed vegetables. Cook on high flame till dry.;Add chopped coriander. Mash again with spoon.;Toast pav with butter. Serve hot with onions and lemon.",Maharashtrian,vegetarian,"street food,snack,night supper",45,winter,potatotomatocapsicumonionpeasbutterpavpav bhaji masalacoriander,boil mash potato pea capsicum tomato onionheat butter add pav bhaji masala stir minutesadd mashed vegetable cook high flame till dryadd chopped coriander mash spoontoast pav butter serve hot onion lemon,potatotomatocapsicumonionpeasbutterpavpav bhaji masalacoriander boil mash potato pea capsicum tomato onionheat butter add pav bhaji masala stir minutesadd mashed vegetable cook high flame till dryadd chopped coriander mash spoontoast pav butter serve hot onion lemon,0.10151228312404056
Aam Chutney,आंब्याची चटणी,"raw mango,jaggery,roasted cumin,salt,red chili,water","आंबा,गुड,भाजलेलाजीरा,मीठ,मिरची,पाणी","Peel and chop raw mango into small pieces.;Grind with roasted cumin powder, salt, red chili powder.;Add jaggery and little water. Blend to paste.;Store in glass jar. Use with meals or puran poli.",Maharashtrian,vegetarian,"summer,lunch,everyday",15,summer,raw mangojaggeryroasted cuminsaltred chiliwater,peel chop raw mango small piecesgrind roasted cumin powder salt red chili powderadd jaggery little water blend pastestore glass jar use meal puran poli,raw mangojaggeryroasted cuminsaltred chiliwater peel chop raw mango small piecesgrind roasted cumin powder salt red chili powderadd jaggery little water blend pastestore glass jar use meal puran poli,0.0
Karela Bhaji,करेले भाजी,"bitter gourd,onion,mustard seeds,turmeric,oil,salt","करेला,कांदा,राई,हळद,तेल,मीठ","Slice bitter gourd thinly, soak in saltwater for 10 mins.;Drain and pat dry.;Heat oil. Add mustard seeds and turmeric. Sizzle.;Add onions and sauté. Then add bitter gourd.;Cook covered till soft. Season with salt. Serve warm.",Maharashtrian,vegetarian,"daily,health-focused,monsoon",25,monsoon,bitter gourdonionmustard seedsturmericoilsalt,slice bitter gourd thinly soak saltwater minsdrain pat dryheat oil add mustard seed turmeric sizzleadd onion saut add bitter gourdcook covered till soft season salt serve warm,bitter gourdonionmustard seedsturmericoilsalt slice bitter gourd thinly soak saltwater minsdrain pat dryheat oil add mustard seed turmeric sizzleadd onion saut add bitter gourdcook covered till soft season salt serve warm,0.0
Shrikhand,श्रीखंड,"hung curd,sugar,cardamom,saffron,chopped nuts","चाकलेलेदही,हीळ,इलायची,केसर,शेंगडी","Hang curd in muslin cloth for 6–8 hours till thick.;Mix with sugar, powdered cardamom, and soaked saffron strands.;Chill for 2 hours.;Garnish with chopped almonds or pistachios. Serve cold.",Maharashtrian,vegetarian,"festive,wedding,dessert",480,winter,hung curdsugarcardamomsaffronchopped nut,hang curd muslin cloth hour till thickmix sugar powdered cardamom soaked saffron strandschill hoursgarnish chopped almond pistachio serve cold,hung curdsugarcardamomsaffronchopped nut hang curd muslin cloth hour till thickmix sugar powdered cardamom soaked saffron strandschill hoursgarnish chopped almond pistachio serve cold,0.0
Bhakri,भाकरी,"jowar flour,water,salt","ज्वारीचेआटे,पाणी,मीठ",Mix jowar flour with water and salt to make stiff dough.;Divide into balls. Roll into thick flatbreads using palm.;Cook on tawa until browned on both sides.;Can be baked on open fire for smoky flavor.,Maharashtrian,"vegetarian,gluten-free","daily,rural,fasting",15,monsoon,jowar flourwatersalt,mix jowar flour water salt make stiff doughdivide ball roll thick flatbread using palmcook tawa browned sidescan baked open fire smoky flavor,jowar flourwatersalt mix jowar flour water salt make stiff doughdivide ball roll thick flatbread using palmcook tawa browned sidescan baked open fire smoky flavor,0.0
Kanda Pudina Bhaji,कांदा पुदीना भाजी,"onion,mint leaves,turmeric,oil,salt,chili flakes","कांदा,पुदीना,हळद,तेल,मीठ,मिरचीपावडर",Thinly slice onions.;Heat oil. Add turmeric and chili flakes. Sauté 1 min.;Add onions. Cook till soft and slightly brown.;Add chopped mint leaves. Toss gently.;Cook 2 more minutes. Serve warm.,Maharashtrian,vegetarian,"snack,lunch,summer",12,summer,onionmint leavesturmericoilsaltchili flake,thinly slice onionsheat oil add turmeric chili flake saut minadd onion cook till soft slightly brownadd chopped mint leaf toss gentlycook minute serve warm,onionmint leavesturmericoilsaltchili flake thinly slice onionsheat oil add turmeric chili flake saut minadd onion cook till soft slightly brownadd chopped mint leaf toss gentlycook minute serve warm,0.0
Kobichi Bharli Fasal,कोबीची भरली फशल,"cabbage,gram flour,turmeric,mustard seeds,curry leaves,oil,salt","कोबी,बेसन,हळद,राई,करीपत्ता,तेल,मीठ","Shred cabbage finely.;Mix with besan, turmeric, salt, and little water to make thick paste.;Heat oil. Add mustard seeds and curry leaves.;Add cabbage paste. Cook on medium heat till crisp.;Served as side dish with dal-bhakri.",Maharashtrian,vegetarian,"daily,lunch,diet-friendly",20,monsoon,cabbagegram flourturmericmustard seedscurry leavesoilsalt,shred cabbage finelymix besan turmeric salt little water make thick pasteheat oil add mustard seed curry leavesadd cabbage paste cook medium heat till crispserved side dish dalbhakri,cabbagegram flourturmericmustard seedscurry leavesoilsalt shred cabbage finelymix besan turmeric salt little water make thick pasteheat oil add mustard seed curry leavesadd cabbage paste cook medium heat till crispserved side dish dalbhakri,0.0706072117920908
Rassa,रस्सा,"chicken,curd,onion,garlic,ginger,coriander,tamarind,garam masala,oil","मांस,दही,कांदा,लसूण,अवळ,धान्य,कोंबडी,गरममसाला,तेल","Marinate chicken in curd and spice powders for 1 hour.;Sauté onions, garlic, ginger till browned.;Add chicken and sear on high heat.;Add tamarind pulp, garam masala, water. Simmer 30 mins.;Garnish with coriander. Served with rice.",Maharashtrian,non-vegetarian,"festive,wedding,special dinner",60,winter,chickencurdoniongarlicgingercoriandertamarindgaram masalaoil,marinate chicken curd spice powder hoursaut onion garlic ginger till brownedadd chicken sear high heatadd tamarind pulp garam masala water simmer minsgarnish coriander served rice,chickencurdoniongarlicgingercoriandertamarindgaram masalaoil marinate chicken curd spice powder hoursaut onion garlic ginger till brownedadd chicken sear high heatadd tamarind pulp garam masala water simmer minsgarnish coriander served rice,0.0
Bhindi Bhaji,भिंडी भाजी,"okra,mustard seeds,turmeric,oil,salt,asafetida","भिंडी,राई,हळद,तेल,मीठ,हिंग","Trim okra and slice into rounds. Dry on cloth.;Heat oil. Add mustard seeds and hing. Sizzle.;Add turmeric, then okra. Cook covered on low heat.;Stir occasionally till okra is soft and dry.;Serve with bhakri or roti.",Maharashtrian,vegetarian,"daily,lunch,summer",25,summer,okramustard seedsturmericoilsaltasafetida,trim okra slice round dry clothheat oil add mustard seed hing sizzleadd turmeric okra cook covered low heatstir occasionally till okra soft dryserve bhakri roti,okramustard seedsturmericoilsaltasafetida trim okra slice round dry clothheat oil add mustard seed hing sizzleadd turmeric okra cook covered low heatstir occasionally till okra soft dryserve bhakri roti,0.0
Khichdi,खिचडी,"rice,moong dal,turmeric,ghee,cumin seeds,salt,water","भात,मूगदाल,हळद,घी,जीरे,मीठ,पाणी","Wash rice and moong dal. Mix in equal parts.;Boil with water and turmeric until soft.;In separate pan, heat ghee. Add cumin seeds.;Pour tempering over khichdi. Mix well.;Serve hot, with pickle and yogurt.",Maharashtrian,"vegetarian,fasting","sick day,baby food,simple meal",40,winter,ricemoong dalturmericgheecumin seedssaltwater,wash rice moong dal mix equal partsboil water turmeric softin separate pan heat ghee add cumin seedspour tempering khichdi mix wellserve hot pickle yogurt,ricemoong dalturmericgheecumin seedssaltwater wash rice moong dal mix equal partsboil water turmeric softin separate pan heat ghee add cumin seedspour tempering khichdi mix wellserve hot pickle yogurt,0.0
Shiropa,शिरोपा,"vermicelli,milk,sugar,ghee,cardamom,dry fruits,nuts","सेव,दूध,हीळ,घी,इलायची,बादाम,अखरोट",Roast vermicelli in ghee till golden.;Add milk and sugar. Cook on low flame till thick.;Add crushed cardamom and chopped dry fruits.;Cook until all milk is absorbed.;Chill and serve as sweet or dessert.,Maharashtrian,vegetarian,"festive,wedding,puja",25,winter,vermicellimilksugargheecardamomdry fruitsnuts,roast vermicelli ghee till goldenadd milk sugar cook low flame till thickadd crushed cardamom chopped dry fruitscook milk absorbedchill serve sweet dessert,vermicellimilksugargheecardamomdry fruitsnuts roast vermicelli ghee till goldenadd milk sugar cook low flame till thickadd crushed cardamom chopped dry fruitscook milk absorbedchill serve sweet dessert,0.0
Masale Bhat,मसाले भात,"rice,onion,tomato,mustard seeds,curry leaves,turmeric,red chili,oil,salt,roasted peanuts,coriander","भात,कांदा,मिरची,राई,करीपत्ता,हळद,लालमिरची,तेल,मीठ,मूंगफळी,धान्य","Cook rice till slightly underdone.;Heat oil. Add mustard seeds, curry leaves, chopped onions.;Add chopped tomato, turmeric, red chili. Cook till oil separates.;Mix in cooked rice. Toss gently.;Add crushed roasted peanuts and coriander. Serve hot.",Maharashtrian,vegetarian,"lunch,daily,tiffin",35,monsoon,riceoniontomatomustard seedscurry leavesturmericred chilioilsaltroasted peanutscoriander,cook rice till slightly underdoneheat oil add mustard seed curry leaf chopped onionsadd chopped tomato turmeric red chili cook till oil separatesmix cooked rice toss gentlyadd crushed roasted peanut coriander serve hot,riceoniontomatomustard seedscurry leavesturmericred chilioilsaltroasted peanutscoriander cook rice till slightly underdoneheat oil add mustard seed curry leaf chopped onionsadd chopped tomato turmeric red chili cook till oil separatesmix cooked rice toss gentlyadd crushed roasted peanut coriander serve hot,0.06851695398900981
Pavachi Bhaji,पावाची भाजी,"potato,onion,bell pepper,tomato,green chili,spice mix,oil,salt,pav (bread)","बटाटा,कांदा,मिरची,मिरची,लसूण,मसाला,तेल,मीठ,पाव","Dice potato, onion, and bell pepper.;Sauté in oil with spices and tomato.;Cook until vegetables soften.;Serve hot with toasted pav.",Maharashtrian,vegetarian,"snack,street food,evening",25,monsoon,potatoonionbell peppertomatogreen chilispice mixoilsaltpav bread,dice potato onion bell peppersaut oil spice tomatocook vegetable softenserve hot toasted pav,potatoonionbell peppertomatogreen chilispice mixoilsaltpav bread dice potato onion bell peppersaut oil spice tomatocook vegetable softenserve hot toasted pav,0.14853587097309193
Saggus,सग्गूस,"jowar flour,curd,water,salt,mustard seeds,fried peanuts,green chili,coriander","ज्वारीचेआटे,दही,पाणी,मीठ,राई,मूंगफळी,मिरची,धान्य","Mix jowar flour with curd and water to make thick batter.;Let sit for 1 hour.;Heat oil. Add mustard seeds, chopped green chili.;Pour batter and cook on low flame till set.;Top with fried peanuts and coriander.",Maharashtrian,vegetarian,"breakfast,rural,monsoon",40,monsoon,jowar flourcurdwatersaltmustard seedsfried peanutsgreen chilicoriander,mix jowar flour curd water make thick batterlet sit hourheat oil add mustard seed chopped green chilipour batter cook low flame till settop fried peanut coriander,jowar flourcurdwatersaltmustard seedsfried peanutsgreen chilicoriander mix jowar flour curd water make thick batterlet sit hourheat oil add mustard seed chopped green chilipour batter cook low flame till settop fried peanut coriander,0.0
Akki Roti,अक्की रोटी,"rice flour,onion,carrot,green chili,coriander,oil,salt,water","चावलीचेआटे,कांदा,गाजर,मिरची,धान्य,तेल,मीठ,पाणी","Mix rice flour with grated carrot, onion, green chili, coriander.;Add water and salt to make dough.;Roll into thin discs.;Cook on tawa with oil till golden.",Maharashtrian,vegetarian,"breakfast,daily,tiffin",25,winter,rice flouronioncarrotgreen chilicorianderoilsaltwater,mix rice flour grated carrot onion green chili corianderadd water salt make doughroll thin discscook tawa oil till golden,rice flouronioncarrotgreen chilicorianderoilsaltwater mix rice flour grated carrot onion green chili corianderadd water salt make doughroll thin discscook tawa oil till golden,0.0
Telichi Bharli Gobhi,तेलीची भरली गोभी,"cauliflower,gram flour,turmeric,mustard seeds,curry leaves,oil,salt","गोभी,बेसन,हळद,राई,करीपत्ता,तेल,मीठ","Cut cauliflower into florets.;Mix gram flour with water, turmeric, salt to make paste.;Coat cauliflower in paste.;Fry in oil until golden.;Temper with mustard seeds and curry leaves.",Maharashtrian,vegetarian,"snack,festive,lunch",30,festive,cauliflowergram flourturmericmustard seedscurry leavesoilsalt,cut cauliflower floretsmix gram flour water turmeric salt make pastecoat cauliflower pastefry oil goldentemper mustard seed curry leaf,cauliflowergram flourturmericmustard seedscurry leavesoilsalt cut cauliflower floretsmix gram flour water turmeric salt make pastecoat cauliflower pastefry oil goldentemper mustard seed curry leaf,0.07938690221195226
Pelat,पेलट,"green mango,jaggery,salt,mustard seeds,red chili,oil,curry leaves","हिरवाआंबा,गुड,मीठ,राई,लालमिरची,तेल,करीपत्ता","Grate green mango.;Heat oil. Add mustard seeds, curry leaves.;Add grated mango, jaggery, chili, salt.;Cook until soft and syrupy. Stir often.;Serve as chutney with bhakri.",Maharashtrian,vegetarian,"summer,lunch,rainy season",15,summer,green mangojaggerysaltmustard seedsred chilioilcurry leaf,grate green mangoheat oil add mustard seed curry leavesadd grated mango jaggery chili saltcook soft syrupy stir oftenserve chutney bhakri,green mangojaggerysaltmustard seedsred chilioilcurry leaf grate green mangoheat oil add mustard seed curry leavesadd grated mango jaggery chili saltcook soft syrupy stir oftenserve chutney bhakri,0.07808159430650993
Bhat Bhaaji,भात भाजी,"rice,potato,onion,tomato,peas,turmeric,oil,salt","भात,बटाटा,कांदा,मिरची,मटार,हळद,तेल,मीठ","Cook rice separately.;In oil, sauté onion and tomato.;Add diced potato and peas. Cook till soft.;Mix in cooked rice. Add turmeric and salt.;Cook 5 min till flavors blend.",Maharashtrian,vegetarian,"lunch,daily,leftover use",35,monsoon,ricepotatooniontomatopeasturmericoilsalt,cook rice separatelyin oil saut onion tomatoadd diced potato pea cook till softmix cooked rice add turmeric saltcook min till flavor blend,ricepotatooniontomatopeasturmericoilsalt cook rice separatelyin oil saut onion tomatoadd diced potato pea cook till softmix cooked rice add turmeric saltcook min till flavor blend,0.15409108870426474
Papad Bhaji,पापड भाजी,"papad,onion,green chili,mustard seeds,turmeric,oil,coriander,salt","पापड,कांदा,मिरची,राई,हळद,तेल,धान्य,मीठ","Fry papad until crisp. Keep aside.;Heat oil. Add mustard seeds, curry leaves, green chili.;Add chopped onion and turmeric. Sauté.;Shred papad and mix in. Cook 2 min.;Garnish with coriander. Serve instantly.",Maharashtrian,vegetarian,"snack,quick lunch,monsoon",12,monsoon,papadoniongreen chilimustard seedsturmericoilcoriandersalt,fry papad crisp keep asideheat oil add mustard seed curry leaf green chiliadd chopped onion turmeric sautshred papad mix cook mingarnish coriander serve instantly,papadoniongreen chilimustard seedsturmericoilcoriandersalt fry papad crisp keep asideheat oil add mustard seed curry leaf green chiliadd chopped onion turmeric sautshred papad mix cook mingarnish coriander serve instantly,0.07525110302855187
