title,title_marathi,ingredients,ingredients_regional,instructions,cuisine,diet,occasion,cooking_time_minutes,seasons
Amabhar,अमाभर,"cluster beans,green chili,coriander,jaggery,turmeric,oil,salt,tamarind","गवंड,मिरची,धान्य,गुड,हळद,तेल,मीठ,कोंबडी","Boil cluster beans till tender, then cool and chop.;In oil, sauté green chilies and turmeric.;Add tamarind pulp and jaggery. Simmer until thick sauce forms.;Add chopped beans. Cook till flavors meld.;Garnish with fresh coriander. Served cold as side dish.",Maharashtrian,vegetarian,"lunch,monsoon,family meal",25,monsoon
Kharria,खर्रीया,"bajra flour,butter,jaggery,cardamom,water","बाजरीचेआटे,मट्ठा,गुड,इलायची,पाणी",Roast bajra flour in ghee on low flame for 10 mins until aromatic.;Boil jaggery with water to make syrup. Cool slightly.;Mix roasted flour into syrup until dough forms.;Add cardamom powder. Knead till smooth.;Form into small balls. Traditionally eaten with milk.,Maharashtrian,vegetarian,"festival,winter,rural",30,winter
Ukdiche Modak,उकडिचे मोदक,"rice flour,grated coconut,jaggery,cardamom,ghee,water","चावलीचेआटे,नारळ,गुड,इलायची,घी,पाणी","Make dough with rice flour and warm water.;Cook grated coconut with jaggery until dry & fragrant. Add cardamom.;Roll small dough balls, flatten into cups, fill with coconut mix.;Pleat closed, place in steamer. Steam for 12 minutes.",Maharashtrian,vegetarian,"ganesh_chaturthi,festive,home ritual",40,festive
Pav Bhaji,पाव भाजी,"potato,tomato,capsicum,onion,peas,butter,pav,pav bhaji masala,coriander","बटाटा,मिरची,मटार,कांदा,बटाटा,घी,पाव,भाजीमसाला,धान्य","Boil and mash potatoes, peas, capsicum, tomato, onion.;Heat butter. Add pav bhaji masala. Stir 2 minutes.;Add mashed vegetables. Cook on high flame till dry.;Add chopped coriander. Mash again with spoon.;Toast pav with butter. Serve hot with onions and lemon.",Maharashtrian,vegetarian,"street food,snack,night supper",45,winter
Aam Chutney,आंब्याची चटणी,"raw mango,jaggery,roasted cumin,salt,red chili,water","आंबा,गुड,भाजलेलाजीरा,मीठ,मिरची,पाणी","Peel and chop raw mango into small pieces.;Grind with roasted cumin powder, salt, red chili powder.;Add jaggery and little water. Blend to paste.;Store in glass jar. Use with meals or puran poli.",Maharashtrian,vegetarian,"summer,lunch,everyday",15,summer
Karela Bhaji,करेले भाजी,"bitter gourd,onion,mustard seeds,turmeric,oil,salt","करेला,कांदा,राई,हळद,तेल,मीठ","Slice bitter gourd thinly, soak in saltwater for 10 mins.;Drain and pat dry.;Heat oil. Add mustard seeds and turmeric. Sizzle.;Add onions and sauté. Then add bitter gourd.;Cook covered till soft. Season with salt. Serve warm.",Maharashtrian,vegetarian,"daily,health-focused,monsoon",25,monsoon
Shrikhand,श्रीखंड,"hung curd,sugar,cardamom,saffron,chopped nuts","चाकलेलेदही,हीळ,इलायची,केसर,शेंगडी","Hang curd in muslin cloth for 6–8 hours till thick.;Mix with sugar, powdered cardamom, and soaked saffron strands.;Chill for 2 hours.;Garnish with chopped almonds or pistachios. Serve cold.",Maharashtrian,vegetarian,"festive,wedding,dessert",480,winter
Bhakri,भाकरी,"jowar flour,water,salt","ज्वारीचेआटे,पाणी,मीठ",Mix jowar flour with water and salt to make stiff dough.;Divide into balls. Roll into thick flatbreads using palm.;Cook on tawa until browned on both sides.;Can be baked on open fire for smoky flavor.,Maharashtrian,"vegetarian,gluten-free","daily,rural,fasting",15,monsoon
Kanda Pudina Bhaji,कांदा पुदीना भाजी,"onion,mint leaves,turmeric,oil,salt,chili flakes","कांदा,पुदीना,हळद,तेल,मीठ,मिरचीपावडर",Thinly slice onions.;Heat oil. Add turmeric and chili flakes. Sauté 1 min.;Add onions. Cook till soft and slightly brown.;Add chopped mint leaves. Toss gently.;Cook 2 more minutes. Serve warm.,Maharashtrian,vegetarian,"snack,lunch,summer",12,summer
Kobichi Bharli Fasal,कोबीची भरली फशल,"cabbage,gram flour,turmeric,mustard seeds,curry leaves,oil,salt","कोबी,बेसन,हळद,राई,करीपत्ता,तेल,मीठ","Shred cabbage finely.;Mix with besan, turmeric, salt, and little water to make thick paste.;Heat oil. Add mustard seeds and curry leaves.;Add cabbage paste. Cook on medium heat till crisp.;Served as side dish with dal-bhakri.",Maharashtrian,vegetarian,"daily,lunch,diet-friendly",20,monsoon
Rassa,रस्सा,"chicken,curd,onion,garlic,ginger,coriander,tamarind,garam masala,oil","मांस,दही,कांदा,लसूण,अवळ,धान्य,कोंबडी,गरममसाला,तेल","Marinate chicken in curd and spice powders for 1 hour.;Sauté onions, garlic, ginger till browned.;Add chicken and sear on high heat.;Add tamarind pulp, garam masala, water. Simmer 30 mins.;Garnish with coriander. Served with rice.",Maharashtrian,non-vegetarian,"festive,wedding,special dinner",60,winter
Bhindi Bhaji,भिंडी भाजी,"okra,mustard seeds,turmeric,oil,salt,asafetida","भिंडी,राई,हळद,तेल,मीठ,हिंग","Trim okra and slice into rounds. Dry on cloth.;Heat oil. Add mustard seeds and hing. Sizzle.;Add turmeric, then okra. Cook covered on low heat.;Stir occasionally till okra is soft and dry.;Serve with bhakri or roti.",Maharashtrian,vegetarian,"daily,lunch,summer",25,summer
Khichdi,खिचडी,"rice,moong dal,turmeric,ghee,cumin seeds,salt,water","भात,मूगदाल,हळद,घी,जीरे,मीठ,पाणी","Wash rice and moong dal. Mix in equal parts.;Boil with water and turmeric until soft.;In separate pan, heat ghee. Add cumin seeds.;Pour tempering over khichdi. Mix well.;Serve hot, with pickle and yogurt.",Maharashtrian,"vegetarian,fasting","sick day,baby food,simple meal",40,winter
Shiropa,शिरोपा,"vermicelli,milk,sugar,ghee,cardamom,dry fruits,nuts","सेव,दूध,हीळ,घी,इलायची,बादाम,अखरोट",Roast vermicelli in ghee till golden.;Add milk and sugar. Cook on low flame till thick.;Add crushed cardamom and chopped dry fruits.;Cook until all milk is absorbed.;Chill and serve as sweet or dessert.,Maharashtrian,vegetarian,"festive,wedding,puja",25,winter
Masale Bhat,मसाले भात,"rice,onion,tomato,mustard seeds,curry leaves,turmeric,red chili,oil,salt,roasted peanuts,coriander","भात,कांदा,मिरची,राई,करीपत्ता,हळद,लालमिरची,तेल,मीठ,मूंगफळी,धान्य","Cook rice till slightly underdone.;Heat oil. Add mustard seeds, curry leaves, chopped onions.;Add chopped tomato, turmeric, red chili. Cook till oil separates.;Mix in cooked rice. Toss gently.;Add crushed roasted peanuts and coriander. Serve hot.",Maharashtrian,vegetarian,"lunch,daily,tiffin",35,monsoon
Pavachi Bhaji,पावाची भाजी,"potato,onion,bell pepper,tomato,green chili,spice mix,oil,salt,pav (bread)","बटाटा,कांदा,मिरची,मिरची,लसूण,मसाला,तेल,मीठ,पाव","Dice potato, onion, and bell pepper.;Sauté in oil with spices and tomato.;Cook until vegetables soften.;Serve hot with toasted pav.",Maharashtrian,vegetarian,"snack,street food,evening",25,monsoon
Saggus,सग्गूस,"jowar flour,curd,water,salt,mustard seeds,fried peanuts,green chili,coriander","ज्वारीचेआटे,दही,पाणी,मीठ,राई,मूंगफळी,मिरची,धान्य","Mix jowar flour with curd and water to make thick batter.;Let sit for 1 hour.;Heat oil. Add mustard seeds, chopped green chili.;Pour batter and cook on low flame till set.;Top with fried peanuts and coriander.",Maharashtrian,vegetarian,"breakfast,rural,monsoon",40,monsoon
Akki Roti,अक्की रोटी,"rice flour,onion,carrot,green chili,coriander,oil,salt,water","चावलीचेआटे,कांदा,गाजर,मिरची,धान्य,तेल,मीठ,पाणी","Mix rice flour with grated carrot, onion, green chili, coriander.;Add water and salt to make dough.;Roll into thin discs.;Cook on tawa with oil till golden.",Maharashtrian,vegetarian,"breakfast,daily,tiffin",25,winter
Telichi Bharli Gobhi,तेलीची भरली गोभी,"cauliflower,gram flour,turmeric,mustard seeds,curry leaves,oil,salt","गोभी,बेसन,हळद,राई,करीपत्ता,तेल,मीठ","Cut cauliflower into florets.;Mix gram flour with water, turmeric, salt to make paste.;Coat cauliflower in paste.;Fry in oil until golden.;Temper with mustard seeds and curry leaves.",Maharashtrian,vegetarian,"snack,festive,lunch",30,festive
Pelat,पेलट,"green mango,jaggery,salt,mustard seeds,red chili,oil,curry leaves","हिरवाआंबा,गुड,मीठ,राई,लालमिरची,तेल,करीपत्ता","Grate green mango.;Heat oil. Add mustard seeds, curry leaves.;Add grated mango, jaggery, chili, salt.;Cook until soft and syrupy. Stir often.;Serve as chutney with bhakri.",Maharashtrian,vegetarian,"summer,lunch,rainy season",15,summer
Bhat Bhaaji,भात भाजी,"rice,potato,onion,tomato,peas,turmeric,oil,salt","भात,बटाटा,कांदा,मिरची,मटार,हळद,तेल,मीठ","Cook rice separately.;In oil, sauté onion and tomato.;Add diced potato and peas. Cook till soft.;Mix in cooked rice. Add turmeric and salt.;Cook 5 min till flavors blend.",Maharashtrian,vegetarian,"lunch,daily,leftover use",35,monsoon
Papad Bhaji,पापड भाजी,"papad,onion,green chili,mustard seeds,turmeric,oil,coriander,salt","पापड,कांदा,मिरची,राई,हळद,तेल,धान्य,मीठ","Fry papad until crisp. Keep aside.;Heat oil. Add mustard seeds, curry leaves, green chili.;Add chopped onion and turmeric. Sauté.;Shred papad and mix in. Cook 2 min.;Garnish with coriander. Serve instantly.",Maharashtrian,vegetarian,"snack,quick lunch,monsoon",12,monsoon
Kanda Amti,कांदा आमटी,"toor dal,onion,turmeric,tamarind pulp,mustard seeds,cumin,ghee,salt","तूरदाल,कांदा,हळद,कोंबडीरस,राई,जीरे,घी,मीठ","Pressure cook toor dal until soft.;Heat ghee. Add mustard seeds, cumin, onions.;Add tamarind pulp and cooked dal. Simmer.;Add turmeric and salt. Cook for 10 min.;Serve with rice or bhakri.",Maharashtrian,vegetarian,"daily,lunch,rural",45,winter
Bharli Vangi,भरली वांगी,"eggplant,curd,mint,coriander,shallots,turmeric,oil,salt,red chili","वांगी,दही,पुदीना,धान्य,लहानकांदा,हळद,तेल,मीठ,लालमिरची","Cut eggplant into halves, scoop out flesh.;Mix pulp with curd, mint, coriander, shallots, spices.;Stuff back into eggplant halves.;Steam for 15 minutes.;Temper with oil and red chili.",Maharashtrian,vegetarian,"daily,lunch",35,summer
Ukadiche Modak (Soft),उकडिचे मोदक (मऊ),"rice flour,grated coconut,jaggery,cardamom,ghee,water","चावलीचेआटे,नारळ,गुड,इलायची,घी,पाणी","Make dough with rice flour and warm water.;Cook coconut and jaggery together until dry.;Roll dough into cups, fill with coconut mix, pleat tops.;Steam for 12 minutes. Serve warm.",Maharashtrian,vegetarian,"ganesh_chaturthi,festive,home ritual",40,festive
Batata Saar,बाटले सार,"potato,tamarind,turmeric,mustard seeds,curry leaves,oil,water,salt,coriander","बटाटा,कोंबडी,हळद,राई,करीपत्ता,तेल,पाणी,मीठ,धान्य","Boil and mash potatoes.;Heat oil. Add mustard seeds, curry leaves.;Add tamarind pulp and water. Simmer.;Add mashed potatoes, turmeric, salt.;Garnish with coriander. Serve hot.",Maharashtrian,vegetarian,"lunch,monsoon,daily",30,monsoon
Kandachi Bhakri,कांद्याची भाकरी,"jowar flour,onion,green chili,coriander,salt,water","ज्वारीचेआटे,कांदा,मिरची,धान्य,मीठ,पाणी","Mix jowar flour with grated onion, green chili, coriander, salt.;Add water to make stiff dough.;Roll into thick rotis.;Cook on tawa with oil till browned.",Maharashtrian,vegetarian,"daily,monsoon,lunch",25,monsoon
Pohe,पोहे,"flattened rice,onion,mustard seeds,curry leaves,turmeric,peanuts,lemon,coriander,oil,salt","पोहे,कांदा,राई,करीपत्ता,हळद,मूंगफळी,निंबू,धान्य,तेल,मीठ","Rinse pohe lightly and let drain.;Heat oil. Add mustard seeds, curry leaves, onion.;Add turmeric, peanuts. Sauté.;Add pohe, salt. Mix gently.;Finish with lemon and coriander. Serve hot.",Maharashtrian,vegetarian,"breakfast,daily,tiffin",15,summer
Kande Khaati,कांदे खाटी,"onion,oil,salt,turmeric,cumin seeds,ghee","कांदा,तेल,मीठ,हळद,जीरे,घी",Thinly slice onions.;Heat ghee and oil. Add cumin seeds.;Add onions. Fry slowly till golden brown.;Add turmeric and salt.;Serve as side with rice or bhakri.,Maharashtrian,vegetarian,"daily,lunch,rural",20,winter
Oats Shivaji,ओट्स शिवाजी,"oats,vegetables,onion,green chili,turmeric,oil,salt","ओट्स,भाज्या,कांदा,मिरची,हळद,तेल,मीठ","Cook oats in water until soft.;Sauté onions, chili, vegetables in oil.;Add turmeric and salt.;Mix with cooked oats.;Serve hot as porridge.",Maharashtrian,vegetarian,"breakfast,health,daily",20,winter
Kadhi,कढी,"yogurt,besan,water,mustard seeds,curry leaves,turmeric,oil,salt,cumin","दही,बेसन,पाणी,राई,करीपत्ते,हळद,तेल,मीठ,जीरे","Whisk yogurt with water and besan until smooth.;In a pan, heat oil. Add mustard seeds, curry leaves, cumin.;Add turmeric and salt.;Pour yogurt mixture. Cook on low flame till thick.;Serve hot with rice.",Maharashtrian,vegetarian,"lunch,daily,monsoon",30,monsoon
Vangi Masala,वांगी मसाला,"eggplant,onion,tomato,spice mix,oil,salt,turmeric,curry leaves","वांगी,कांदा,टोमॅटो,मसालामिक्स,तेल,मीठ,हळद,करीपत्ते",Roast eggplant over fire until soft.;Chop tomato and onion.;Sauté in oil with spice mix and curry leaves.;Add roasted eggplant. Mix gently.;Cook 5 min until well blended.,Maharashtrian,vegetarian,"lunch,daily,seasonal",35,summer
Baingan Bharta,बैंगन भर्ता,"eggplant,onion,tomato,garlic,green chili,oil,salt,coriander,garam masala","बैंगन,कांदा,टोमॅटो,लसूण,हिरवीमिरची,तेल,मीठ,धनिया,गरममसाला","Roast eggplant till charred and soft.;Peel skin and mash.;Sauté onion, tomato, garlic, chili in oil.;Add mashed eggplant and garam masala.;Cook 10 min. Garnish with coriander.",Maharashtrian,vegetarian,"lunch,festive,evening",45,winter
Pulav,पुलाव,"rice,onion,potato,peas,carrot,turmeric,garam masala,oil,salt","भात,कांदा,बटाटा,मटार,गाजर,हळद,गरममसाला,तेल,मीठ","Soak rice for 30 minutes.;Sauté onions, carrots, potatoes.;Add peas, turmeric, garam masala.;Add rice and water. Cook covered.;Fluff with fork. Serve hot.",Maharashtrian,vegetarian,"lunch,festive,party",40,festive
Farsan,फरसान,"sev,chickpea flour,oil,salt,turmeric,asafetida,mustard seeds,curry leaves","सेव,चणाडाळपीठ,तेल,मीठ,हळद,हिंग,राई,करीपत्ते","Mix chickpea flour with water, salt, turmeric, asafoetida.;Slowly heat oil. Add mustard seeds, curry leaves.;Pour batter in tiny streams into hot oil.;Fry until crisp. Drain and cool.;Store for snacks.",Maharashtrian,vegetarian,"snack,festival,diwali",25,festive
Sukhi Sabji,शुक्की साभाजी,"gourd,onion,mustard seeds,turmeric,curry leaves,oil,salt","दुधी,कांदा,राई,हळद,करीपत्ते,तेल,मीठ","Slice bottle gourd paper-thin.;Heat oil. Add mustard seeds, curry leaves.;Add gourd. Sauté till crispy.;Add turmeric, salt. Cook till dry.;Serve as crunchy side.",Maharashtrian,vegetarian,"lunch,daily,festival",20,monsoon
Kanda Aloo Sabji,कांदा आलू साभाजी,"onion,potato,turmeric,mustard seeds,curry leaves,oil,salt","कांदा,बटाटा,हळद,राई,करीपत्ते,तेल,मीठ","Dice onions and potatoes.;Heat oil. Add mustard seeds, curry leaves.;Sauté onions till translucent.;Add potatoes, turmeric, salt.;Cook covered until tender.",Maharashtrian,vegetarian,"breakfast,lunch,daily",25,monsoon
Dhania Pankan,धान्य पाकान,"fresh coriander,gram flour,green chili,turmeric,oil,salt","धनियापाने,हरभराडाळपीठ,हिरवीमिरची,हळद,तेल,मीठ","Blend coriander with green chili.;Mix with gram flour, salt, turmeric.;Add water to make thick batter.;Fry spoonfuls in oil till golden.;Serve as crispy fritters.",Maharashtrian,vegetarian,"snack,evening,party",20,summer
Bhakri with tilt,भाकरी व टिलट,"bhakri,tilt (sesame seed chutney),onion,green chili,salt","भाकरी,तीळचटणी,कांदा,हिरवीमिरची,मीठ","Make chutney: roast sesame seeds, grind with onion, chili, salt.;Serve warm bhakri with sesame chutney.;Ideal for winter months.",Maharashtrian,vegetarian,"breakfast,winter,rural",20,winter
Kolhapuri Chicken Curry,कोल्हापुरी मांसचा करी,"chicken,red chili powder,coconut,onion,garlic,ginger,tomato,spice mix,oil,water","कोल्हापुरीमांस,लालमिरचीपूड,नारळ,कांदा,लसूण,आले,टोमॅटो,मसालामिक्स,तेल,पाणी","Marinate chicken in chili powder and coconut.;Sauté onion, garlic, ginger.;Add tomato and spice mix. Cook well.;Add chicken, water. Simmer 40 min.;Serve with rice or puri.",Maharashtrian,non-vegetarian,"festive,wedding,special dinner",75,winter
Kheer,खीर,"milk,rice,jaggery,cardamom,nuts,ghee","दूध,भात,गूळ,वेलदाणा,बदाम,घी","Cook rice in milk until soft.;Add jaggery, cardamom powder.;Cook until thick. Stir often.;Add chopped nuts and ghee.;Cool and serve chilled.",Maharashtrian,vegetarian,"festive,wedding,puja",60,winter
Pheni,फेणी,"refined flour,ghee,sugar,cardamom,milk,saffron","तूप,साखर,वेलदाणा,दूध,केसर,पीठ",Mix flour with water to make dough.;Roll into thin strands and coil into nests.;Fry in ghee until golden.;Soak in sugar syrup with cardamom and saffron.;Cool and serve.,Maharashtrian,vegetarian,"festive,wedding,diwali",50,festive
Kanda Amti,कांदा आमटी,"toor dal,onion,turmeric,tamarind,mustard seeds,cumin,ghee,salt","तूरडाळ,कांदा,हळद,चिंच,राई,जिरे,तूप,मीठ","Cook toor dal till soft.;In ghee, fry mustard seeds, cumin, onion.;Add tamarind and cooked dal.;Simmer for 10 minutes.;Serve with rice.",Maharashtrian,vegetarian,"daily,lunch,rural",45,winter
Modak Amti,मोदक आमटी,"toor dal,jaggery,mustard seeds,turmeric,curry leaves,oil,salt,coconut","तूरडाळ,गूळ,राई,हळद,करीपत्ते,तेल,मीठ,नारळ","Cook toor dal till soft.;In oil, temper mustard seeds and curry leaves.;Add jaggery, coconut, turmeric.;Mix with dal. Simmer 10 min.;Serve with steamed rice.",Maharashtrian,vegetarian,"ganesh_chaturthi,festive",35,festive
Tambada Patto,तांबडा पातू,"lamb liver,onion,tomato,red chili,turmeric,oil,salt,ginger,garlic","गोवरयकृत,कांदा,टोमॅटो,लालमिरची,हळद,तेल,मीठ,आले,लसूण","Clean and cut liver into pieces.;Sauté garlic, ginger, onion.;Add tomato and red chili.;Add liver and turmeric. Cook 15 min.;Serve with bhakri.",Maharashtrian,non-vegetarian,"indigenous,traditional,wedding",25,winter
